Pattern,X1,X2,X3,X4,X5,X6
351343,Mars,Null,Earth,Mars,Jupiter,Mars
351345,Mars,Null,Earth,Mars,Jupiter,Null
351342,Mars,Null,Earth,Mars,Jupiter,Venus
351331,Mars,Null,Earth,Mars,Mars,Earth
351334,Mars,Null,Earth,Mars,Mars,Jupiter
351333,Mars,Null,Earth,Mars,Mars,Mars
351335,Mars,Null,Earth,Mars,Mars,Null
351332,Mars,Null,Earth,Mars,Mars,Venus
351351,Mars,Null,Earth,Mars,Null,Earth
351354,Mars,Null,Earth,Mars,Null,Jupiter
351353,Mars,Null,Earth,Mars,Null,Mars
351355,Mars,Null,Earth,Mars,Null,Null
351352,Mars,Null,Earth,Mars,Null,Venus
351321,Mars,Null,Earth,Mars,Venus,Earth
351324,Mars,Null,Earth,Mars,Venus,Jupiter
351323,Mars,Null,Earth,Mars,Venus,Mars
351325,Mars,Null,Earth,Mars,Venus,Null
351322,Mars,Null,Earth,Mars,Venus,Venus
351511,Mars,Null,Earth,Null,Earth,Earth
351514,Mars,Null,Earth,Null,Earth,Jupiter
351513,Mars,Null,Earth,Null,Earth,Mars
351515,Mars,Null,Earth,Null,Earth,Null
351512,Mars,Null,Earth,Null,Earth,Venus
351541,Mars,Null,Earth,Null,Jupiter,Earth
351544,Mars,Null,Earth,Null,Jupiter,Jupiter
351543,Mars,Null,Earth,Null,Jupiter,Mars
351545,Mars,Null,Earth,Null,Jupiter,Null
351542,Mars,Null,Earth,Null,Jupiter,Venus
351531,Mars,Null,Earth,Null,Mars,Earth
351534,Mars,Null,Earth,Null,Mars,Jupiter
351533,Mars,Null,Earth,Null,Mars,Mars
351535,Mars,Null,Earth,Null,Mars,Null
351532,Mars,Null,Earth,Null,Mars,Venus
351551,Mars,Null,Earth,Null,Null,Earth
351554,Mars,Null,Earth,Null,Null,Jupiter
351553,Mars,Null,Earth,Null,Null,Mars
351555,Mars,Null,Earth,Null,Null,Null
351552,Mars,Null,Earth,Null,Null,Venus
351521,Mars,Null,Earth,Null,Venus,Earth
351524,Mars,Null,Earth,Null,Venus,Jupiter
351523,Mars,Null,Earth,Null,Venus,Mars
351525,Mars,Null,Earth,Null,Venus,Null
351522,Mars,Null,Earth,Null,Venus,Venus
